phase,level,score,scaffolding,Task_Identification,Resource_Specificity,Goal_Clarity,Goal_Orientation,Visualization,Specific_Goal,Action_Plan,Timeline,If_Then_Structure,Response_Specificity,Feasibility,Monitoring_Strategy,Adaptation_Triggers,Alternative_Strategies,expected_scaffolding,expected_scaffolding_by_level,scaffolding_match,scaffolding_level_match
phase4_contingency_strategies,low,1.0,high,,,,,,,,,1.0,1.0,1.0,,,,high,high,True,True
phase4_contingency_strategies,low,1.3,high,,,,,,,,,1.0,1.0,2.0,,,,high,high,True,True
phase4_contingency_strategies,low,1.3,high,,,,,,,,,1.0,1.0,2.0,,,,high,high,True,True
phase4_contingency_strategies,low,1.3,high,,,,,,,,,1.0,1.0,2.0,,,,high,high,True,True
phase4_contingency_strategies,low,1.0,high,,,,,,,,,1.0,1.0,1.0,,,,high,high,True,True
phase4_contingency_strategies,low,1.0,high,,,,,,,,,1.0,1.0,1.0,,,,high,high,True,True
phase4_contingency_strategies,low,1.0,high,,,,,,,,,1.0,1.0,1.0,,,,high,high,True,True
phase4_contingency_strategies,medium,2.3,low,,,,,,,,,3.0,2.0,3.0,,,,low,medium,True,False
phase4_contingency_strategies,medium,1.7,medium,,,,,,,,,2.0,1.0,2.0,,,,medium,medium,True,True
phase4_contingency_strategies,medium,2.3,low,,,,,,,,,3.0,2.0,3.0,,,,low,medium,True,False
phase4_contingency_strategies,medium,1.8,medium,,,,,,,,,2.0,1.0,3.0,,,,medium,medium,True,True
phase4_contingency_strategies,medium,2.67,low,,,,,,,,,2.0,3.0,3.0,,,,low,medium,True,False
phase4_contingency_strategies,medium,1.67,medium,,,,,,,,,2.0,1.0,2.0,,,,medium,medium,True,True
phase4_contingency_strategies,medium,1.7,medium,,,,,,,,,1.0,2.0,3.0,,,,medium,medium,True,True
phase4_contingency_strategies,medium,1.67,medium,,,,,,,,,2.0,1.0,2.0,,,,medium,medium,True,True
phase4_contingency_strategies,high,3.0,low,,,,,,,,,3.0,3.0,3.0,,,,low,low,True,True
phase4_contingency_strategies,high,3.0,low,,,,,,,,,3.0,3.0,3.0,,,,low,low,True,True
phase4_contingency_strategies,high,3.0,low,,,,,,,,,3.0,3.0,3.0,,,,low,low,True,True
phase4_contingency_strategies,high,3.0,low,,,,,,,,,3.0,3.0,3.0,,,,low,low,True,True
phase4_contingency_strategies,high,3.0,low,,,,,,,,,3.0,3.0,3.0,,,,low,low,True,True
phase4_contingency_strategies,high,3.0,low,,,,,,,,,3.0,3.0,3.0,,,,low,low,True,True
phase4_contingency_strategies,high,3.0,low,,,,,,,,,3.0,3.0,3.0,,,,low,low,True,True
phase4_contingency_strategies,high,3.0,low,,,,,,,,,3.0,3.0,3.0,,,,low,low,True,True
phase5_monitoring_adaptation,low,1.0,high,,,,,,,,,,,,,1.0,,high,high,True,True
phase5_monitoring_adaptation,low,1.0,high,,,,,,,,,,,,,1.0,,high,high,True,True
phase5_monitoring_adaptation,low,1.0,high,,,,,,,,,,,,,1.0,,high,high,True,True
phase5_monitoring_adaptation,low,1.0,high,,,,,,,,,,,,,1.0,,high,high,True,True
phase5_monitoring_adaptation,low,1.0,high,,,,,,,,,,,,,1.0,,high,high,True,True
phase5_monitoring_adaptation,low,1.0,high,,,,,,,,,,,,,1.0,,high,high,True,True
phase5_monitoring_adaptation,low,1.0,high,,,,,,,,,,,,,1.0,,high,high,True,True
phase5_monitoring_adaptation,low,1.0,high,,,,,,,,,,,,,1.0,,high,high,True,True
phase5_monitoring_adaptation,medium,2.0,medium,,,,,,,,,,,,,3.0,,medium,medium,True,True
phase5_monitoring_adaptation,medium,2.0,medium,,,,,,,,,,,,,3.0,,medium,medium,True,True
phase5_monitoring_adaptation,medium,1.67,medium,,,,,,,,,,,,,1.0,,medium,medium,True,True
phase5_monitoring_adaptation,medium,1.7,medium,,,,,,,,,,,,,2.0,,medium,medium,True,True
phase5_monitoring_adaptation,medium,1.8,medium,,,,,,,,,,,,,1.0,,medium,medium,True,True
phase5_monitoring_adaptation,medium,2.0,medium,,,,,,,,,,,,,3.0,,medium,medium,True,True
phase5_monitoring_adaptation,medium,1.8,medium,,,,,,,,,,,,,1.0,,medium,medium,True,True
phase5_monitoring_adaptation,medium,2.0,medium,,,,,,,,,,,,,3.0,,medium,medium,True,True
phase5_monitoring_adaptation,high,3.0,low,,,,,,,,,,,,,3.0,,low,low,True,True
phase5_monitoring_adaptation,high,3.0,low,,,,,,,,,,,,,3.0,,low,low,True,True
phase5_monitoring_adaptation,high,3.0,low,,,,,,,,,,,,,3.0,,low,low,True,True
phase5_monitoring_adaptation,high,3.0,low,,,,,,,,,,,,,3.0,,low,low,True,True
phase5_monitoring_adaptation,high,3.0,low,,,,,,,,,,,,,3.0,,low,low,True,True
phase5_monitoring_adaptation,high,3.0,low,,,,,,,,,,,,,3.0,,low,low,True,True
phase5_monitoring_adaptation,high,3.0,low,,,,,,,,,,,,,3.0,,low,low,True,True
phase5_monitoring_adaptation,high,3.0,low,,,,,,,,,,,,,3.0,,low,low,True,True
